MTX,%XLC,%Na2O,N/TX,kd,Tuoi,Cuongdo
400,40,3.99,0.4,1.663,28,47.92
400,40,6,0.4,1.671,28,63.39
300.2,40,4,0.533,1.597,28,37.06
300.2,40,5.99,0.533,1.604,28,56.79
400,60,3.99,0.4,1.646,28,57.96
400,60,6,0.4,1.653,28,76.9
300.2,60,4,0.533,1.583,28,39.98
300.2,60,5.99,0.533,1.59,28,61.96
342.6,50,3.31,0.467,1.616,28,37.31
342.6,50,6.67,0.467,1.627,28,68.42
451.2,50,5.01,0.355,1.684,28,69.05
276.6,50,5,0.578,1.574,28,44.89
342.6,33.2,5.01,0.467,1.635,28,51.2
342.6,66.8,5.01,0.467,1.609,28,65.3
342.6,50,5.01,0.467,1.622,28,60.93
342.6,50,5.01,0.467,1.622,28,60.62
342.6,50,5.01,0.467,1.622,28,61
342.6,50,5.01,0.467,1.622,28,61.09
342.6,50,5.01,0.467,1.622,28,61.89
342.6,50,5.01,0.467,1.622,28,60.25
