Cat,Da,XLC,TB,Na2SiO3,NaOH,Nuoc,Tuoi,Cuongdo
791,1116,112,168,56.8,8.9,123,7 ,20.01 
784,1113,146,146,59.1,9.2,122,7 ,25.52 
765,1105,157,157,63.7,9.9,119,7 ,32.54 
767,1106,155,155,71.3,11.1,114,7 ,37.64 
736,1096,170,170,88.4,13.8,103,7 ,48.12 
666,1075,206,206,119.1,18.6,83,7 ,58.77 
793,1117,83,193,55.9,8.7,124,28 ,25.01 
791,1116,112,168,56.8,8.9,123,28 ,31.70 
784,1113,146,146,59.1,9.2,122,28 ,36.76 
765,1105,157,157,63.7,9.9,119,28 ,42.55 
767,1106,155,155,71.3,11.1,114,28 ,50.10 
736,1096,170,170,88.4,13.8,103,28 ,61.99 
666,1075,206,206,119.1,18.6,83,28 ,74.43 
793,1117,83,193,55.9,8.7,124,56 ,30.73 
791,1116,112,168,56.8,8.9,123,56 ,37.49 
784,1113,146,146,59.1,9.2,122,56 ,41.94 
765,1105,157,157,63.7,9.9,119,56 ,50.07 
767,1106,155,155,71.3,11.1,114,56 ,58.55 
736,1096,170,170,88.4,13.8,103,56 ,72.37 
666,1075,206,206,119.1,18.6,83,56 ,78.11 
793,1117,83,193,55.9,8.7,124,112 ,31.24 
791,1116,112,168,56.8,8.9,123,112 ,38.10 
784,1113,146,146,59.1,9.2,122,112 ,43.38 
765,1105,157,157,63.7,9.9,119,112 ,50.40 
767,1106,155,155,71.3,11.1,114,112 ,59.58 
736,1096,170,170,88.4,13.8,103,112 ,72.58 
666,1075,206,206,119.1,18.6,83,112 ,80.03 
793,1117,83,193,55.9,8.7,124,3 ,6.17 
791,1116,112,168,56.8,8.9,123,3 ,8.45 
784,1113,146,146,59.1,9.2,122,3 ,15.57 
765,1105,157,157,63.7,9.9,119,3 ,21.82 
767,1106,155,155,71.3,11.1,114,3 ,23.29 
736,1096,170,170,88.4,13.8,103,3 ,33.91 
666,1075,206,206,119.1,18.6,83,3 ,44.65 
793,1117,83,193,55.9,8.7,124,7 ,15.20 
791,1116,112,168,56.8,8.9,123,7 ,19.63 
784,1113,146,146,59.1,9.2,122,7 ,25.46 
765,1105,157,157,63.7,9.9,119,7 ,32.28 
767,1106,155,155,71.3,11.1,114,7 ,37.67 
736,1096,170,170,88.4,13.8,103,7 ,48.44 
666,1075,206,206,119.1,18.6,83,7 ,58.29 
793,1117,83,193,55.9,8.7,124,28 ,25.70 
791,1116,112,168,56.8,8.9,123,28 ,31.96 
784,1113,146,146,59.1,9.2,122,28 ,36.33 
765,1105,157,157,63.7,9.9,119,28 ,42.35 
767,1106,155,155,71.3,11.1,114,28 ,49.89 
736,1096,170,170,88.4,13.8,103,28 ,62.89 
666,1075,206,206,119.1,18.6,83,28 ,74.33 
793,1117,83,193,55.9,8.7,124,56 ,31.02 
791,1116,112,168,56.8,8.9,123,56 ,37.16 
784,1113,146,146,59.1,9.2,122,56 ,42.62 
765,1105,157,157,63.7,9.9,119,56 ,50.21 
767,1106,155,155,71.3,11.1,114,56 ,59.73 
736,1096,170,170,88.4,13.8,103,56 ,72.79 
666,1075,206,206,119.1,18.6,83,56 ,78.75 
793,1117,83,193,55.9,8.7,124,112 ,30.98 
791,1116,112,168,56.8,8.9,123,112 ,37.56 
784,1113,146,146,59.1,9.2,122,112 ,43.65 
765,1105,157,157,63.7,9.9,119,112 ,50.08 
767,1106,155,155,71.3,11.1,114,112 ,59.47 
736,1096,170,170,88.4,13.8,103,112 ,74.04 
666,1075,206,206,119.1,18.6,83,112 ,81.61 
751,1055,140,210,90.75,14.16,86.7,28 ,54.80 
682.9,1080.2,160,240,81,12.6,107.8,28 ,52.69 
671.6,1076.8,160,240,127.6,19.9,77.8,28 ,66.37 
774.9,1109.3,120.1,180.1,60.8,9.5,120.8,28 ,35.62 
767,1106.1,120.1,180.1,95.8,14.9,98.3,28 ,56.29 
688.9,1081.9,240,160,81,12.6,107.8,28 ,59.92 
677.5,1078.6,240,160,127.6,19.9,77.8,28 ,81.58 
778.9,1111,180.1,120.1,60.8,9.5,120.8,28 ,39.32 
771.2,1107.7,180.1,120.1,95.8,14.9,98.3,28 ,63.98 
741.8,1098.2,171.3,171.3,56.6,8.8,123.5,28 ,36.16 
725.7,1093.1,171.3,171.3,123.8,19.3,80.2,28 ,73.67 
629.6,1067.8,225.6,225.6,117,18.3,84.6,28 ,72.74 
793.1,1117.3,138.3,138.3,71.7,11.2,113.8,28 ,46.17 
729.9,1094.4,113.7,228.9,88.8,13.9,102.8,28 ,47.79 
738.3,1097.1,228.9,113.7,88.8,13.9,102.8,28 ,61.12 
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28 ,60.09 
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28 ,62.04 
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28 ,56.28 
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28 ,58.65 
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28 ,63.80 
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28 ,62.15 
682.9,1080.2,160,240,81,12.6,107.8,28,53.15
671.6,1076.8,160,240,127.6,19.9,77.8,28,68.96
774.9,1109.3,120.1,180.1,60.8,9.5,120.8,28,35.26
767,1106.1,120.1,180.1,95.8,14.9,98.3,28,54.44
688.9,1081.9,240,160,81,12.6,107.8,28,60.09
677.5,1078.6,240,160,127.6,19.9,77.8,28,75.73
778.9,1111,180.1,120.1,60.8,9.5,120.8,28,38.07
771.2,1107.7,180.1,120.1,95.8,14.9,98.3,28,62.97
741.8,1098.2,171.3,171.3,56.6,8.8,123.5,28,34.05
725.7,1093.1,171.3,171.3,123.8,19.3,80.2,28,70.62
629.6,1067.8,225.6,225.6,117,18.3,84.6,28,71.32
793.1,1117.3,138.3,138.3,71.7,11.2,113.8,28,45.26
729.9,1094.4,113.7,228.9,88.8,13.9,102.8,28,49.57
738.3,1097.1,228.9,113.7,88.8,13.9,102.8,28,66.59
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,58.01
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,62.72
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,57.51
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,58.89
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,59.06
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,61.11
682.9,1080.2,160,240,81,12.6,107.8,28,47.92
671.6,1076.8,160,240,127.6,19.9,77.8,28,63.39
774.9,1109.3,120.1,180.1,60.8,9.5,120.8,28,37.06
767,1106.1,120.1,180.1,95.8,14.9,98.3,28,56.79
688.9,1081.9,240,160,81,12.6,107.8,28,57.96
677.5,1078.6,240,160,127.6,19.9,77.8,28,76.9
778.9,1111,180.1,120.1,60.8,9.5,120.8,28,39.98
771.2,1107.7,180.1,120.1,95.8,14.9,98.3,28,61.96
741.8,1098.2,171.3,171.3,56.6,8.8,123.5,28,37.31
725.7,1093.1,171.3,171.3,123.8,19.3,80.2,28,68.42
629.6,1067.8,225.6,225.6,117,18.3,84.6,28,69.05
793.1,1117.3,138.3,138.3,71.7,11.2,113.8,28,44.89
729.9,1094.4,113.7,228.9,88.8,13.9,102.8,28,51.2
738.3,1097.1,228.9,113.7,88.8,13.9,102.8,28,65.3
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,60.93
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,60.62
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,61
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,61.09
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,61.89
734.1,1095.7,171.3,171.3,88.8,13.9,102.8,28,60.25
